lat,lon,bhk,rate per sqft,area per sqft,price,property name,location,nearby school,nearby hospital,nearby bank,nearby public transport,nearby railway station,price source,matched map name,matched from,match method,property type
23.0967876,72.5966689,4,3704,3726,1.38,maitri elevate,motera,Sakar English School (1.43 km),Sevak Maternity & Surgical Hospital (0.06 km),HDFC Bank (1.59 km),Motera Stadium (0.00 km),Kali Road (1.91 km),original,Motera Stadium,motera,fuzzy_name,flat
22.8927975,72.4910926,4,3555,3798,1.35,heritage villa 76,kasindra,Narayana Business School (8.25 km),Lambha Skin Hospital (9.83 km),029 (5.96 km),APMC (12.59 km),Moraiya (6.65 km),original,Kasindra,kasindra,exact_name,house
23.021803,72.4747707,3,2889,1800,0.52,mansi empire,south bopal,Cosmos Castle International School (2.70 km),Devasya Superspeciality Kidney Institute and Research Centre (0.63 km),ICICI Bank (0.47 km),Bopal Appoach BRTS (0.55 km),Gora Ghuma (3.01 km),original,South Bopal,south bopal,exact_name,flat
22.8927975,72.4910926,5,5349,3384,1.81,sampath villa,kasindra,Narayana Business School (8.25 km),Lambha Skin Hospital (9.83 km),029 (5.96 km),APMC (12.59 km),Moraiya (6.65 km),original,Kasindra,kasindra,exact_name,house
23.021803,72.4747707,3,4676,1850,0.865,divine skypark,south bopal,Cosmos Castle International School (2.70 km),Devasya Superspeciality Kidney Institute and Research Centre (0.63 km),ICICI Bank (0.47 km),Bopal Appoach BRTS (0.55 km),Gora Ghuma (3.01 km),original,South Bopal,south bopal,exact_name,flat
23.0967876,72.5966689,3,8061,918,0.74,savya skyz 2,motera,Sakar English School (1.43 km),Sevak Maternity & Surgical Hospital (0.06 km),HDFC Bank (1.59 km),Motera Stadium (0.00 km),Kali Road (1.91 km),original,Motera Stadium,motera,fuzzy_name,flat
23.081994,72.5519258,3,3500,1800,0.63,dharti skyline,jagatpur,Gyanda Girls High School (1.15 km),S G Hospital Chandlodiya (0.33 km),canera bank (3.30 km),Chandlodiya (0.32 km),Chandlodiya (1.11 km),original,Jagatpur Road,jagatpur,fuzzy_name,flat
23.0774129,72.4943545,3,5632,2610,1.47,greenvilla bliss,science city,Zebar School (3.21 km),Dr. Parth Amin (ENT Specialist) Mediheal Hospital (0.80 km),Indian Bank (5.31 km),Bhadaj circle BRTS (0.64 km),Ambli Road (2.66 km),original,Science City,science city,exact_name,flat
23.0107147,72.4429208,4,1865,4075,0.76,shubham anthem,shela,Sanskardham School Hostel (2.55 km),Krishna Shalby Hospital (1.48 km),ATM HDFC Bank (2.80 km),Ghuma BRTS terminal (2.32 km),Gora Ghuma (3.24 km),original,Shela Lake,shela,fuzzy_name,flat
23.0107147,72.4429208,3,8687,841,0.7306,venus planet,shela,Sanskardham School Hostel (2.55 km),Krishna Shalby Hospital (1.48 km),ATM HDFC Bank (2.80 km),Ghuma BRTS terminal (2.32 km),Gora Ghuma (3.24 km),original,Shela Lake,shela,fuzzy_name,flat
23.107121,72.5848584,3,4497,1890,0.85,vashikaa param,chandkheda,Sakar School Bus Stop (0.66 km),Amrut Arogyadham Medical Hospital (0.38 km),Gol Bank (2.66 km),Janta Nagar (Parshwanath Nagar) (0.08 km),Kali Road (1.22 km),original,Chandkheda,chandkheda,exact_name,flat
23.0485393,72.511742,5,4215,10201,4.3,the sovereign,thaltej,Udgam School for Children (0.78 km),Apex Heart Institute (0.38 km),Indian Bank (1.80 km),Thaltej (0.46 km),Ambli Road (1.96 km),original,Thaltej,thaltej,exact_name,flat
23.1589328,72.5380315,6,7017,6912,4.85,adani belrosa,adani shantigram,NIM Auditorium (3.46 km),KD Blossom (2.63 km),Kalupur Cooperative Commercial BANK (3.47 km),Chandkheda Bus Depo (6.72 km),Khodiyar Junction (1.10 km),original,Shantigram,shantigram,exact_name,flat
23.1360943,72.5425805,5,7487,3406,2.55,trogon centre court,vaishnodevi circle,NIM Auditorium (0.90 km),KD Blossom (0.12 km),Kalupur Cooperative Commercial BANK (0.89 km),Chandkheda Bus Depo (4.77 km),Khodiyar Junction (2.28 km),original,Vaishnodevi Circle,vaishnodevi circle,exact_name,flat
23.021803,72.4747707,5,4838,3121,1.51,hn riviera bliss,south bopal,Cosmos Castle International School (2.70 km),Devasya Superspeciality Kidney Institute and Research Centre (0.63 km),ICICI Bank (0.47 km),Bopal Appoach BRTS (0.55 km),Gora Ghuma (3.01 km),original,South Bopal,south bopal,exact_name,flat
